l.p,data,temperatura,ciśnienie,prędkość wiatru,wilgotność,temperatura punktu rosy
1,20111203,6.4,999.7,4.0,0.0,4.6
2,20111204,5.3,988.9,4.0,0.0,2.8
3,20111205,4.5,983.2,2.0,0.0,3.3
4,20111206,1.3,989.8,3.0,0.0,-0.3
5,20111207,1.2,993.6,3.0,0.0,-0.3
6,20111208,0.4,983.8,3.0,0.0,0.3
7,20111209,-1.1,1002.8,1.0,0.0,-1.4
8,20111210,2.4,994.5,3.0,0.0,-0.5
9,20111211,1.6,999.5,3.0,0.0,-0.8
10,20111212,-2.8,1006.7,1.0,0.0,-3.6
11,20111213,0.6,998.4,0.0,0.0,0.5
12,20111214,5.3,994.9,2.0,0.0,1.8
13,20111215,6.8,993.9,4.0,0.0,2.5
14,20111216,-1.8,994.9,0.0,0.0,-2.1
15,20111217,4.8,967.1,5.0,0.0,3.9
16,20111218,2.1,979.4,8.0,0.0,1.1
17,20111219,2.2,996.6,4.0,0.0,-0.6
18,20111220,-3.3,1004.8,0.0,0.0,-3.4
19,20111221,-1.7,998.3,2.0,0.0,-1.8
20,20111222,-5.5,1003.4,0.0,0.0,-5.6
21,20111223,-4.5,1010.5,0.0,0.0,-4.8
22,20111224,0.4,1002.0,2.0,0.0,0.0
23,20111225,4.8,1003.5,4.0,0.0,4.7
24,20111226,4.1,1014.4,3.0,0.0,3.7
25,20111227,8.5,1017.0,6.0,0.0,7.7
26,20111228,5.8,1017.5,6.0,0.0,3.6
27,20111229,4.8,1005.0,2.0,0.0,2.3
28,20111230,0.6,996.3,2.0,0.0,-1.2
29,20111231,0.7,992.4,1.0,0.0,0.3
30,20120101,-0.8,1002.7,0.0,0.0,-0.8
31,20120102,3.9,998.9,1.0,0.0,3.9
32,20120103,7.6,997.4,3.0,0.0,5.2
33,20120104,7.2,993.2,4.0,0.0,0.2
34,20120105,4.7,992.2,5.0,0.0,-0.7
35,20120106,2.3,967.2,2.0,0.0,1.6
36,20120107,0.3,997.7,4.0,0.0,-1.6
37,20120108,1.2,992.3,1.0,0.0,0.8
38,20120109,3.5,1000.6,3.0,0.0,3.2
39,20120110,0.6,1006.5,0.0,0.0,-0.7
40,20120111,1.2,1014.1,3.0,0.0,1.2
41,20120112,3.3,1009.0,4.0,0.0,2.1
42,20120113,4.3,988.6,11.0,0.0,-0.3
43,20120114,-0.2,989.6,5.0,0.0,-0.8
44,20120115,-1.2,996.5,7.0,0.0,-2.8
45,20120116,-4.6,1008.0,3.0,0.0,-5.8
46,20120117,-3.3,1007.3,2.0,0.0,-4.9
47,20120118,-9.4,1014.1,0.0,0.0,-9.8
48,20120119,-1.8,1002.5,2.0,0.0,-3.1
49,20120120,0.6,986.8,3.0,0.0,0.6
50,20120121,0.4,993.6,3.0,0.0,0.1
51,20120122,-0.6,981.2,4.0,0.0,-0.6
52,20120123,2.3,984.7,3.0,0.0,1.7
53,20120124,-0.5,997.1,4.0,0.0,-1.9000001
54,20120125,-1.0,1007.3,0.0,0.0,-1.8
55,20120126,-4.5,1013.4,3.0,0.0,-4.9
56,20120127,-9.9,1018.9,4.0,0.0,-12.4
57,20120128,-12.9,1021.9,3.0,0.0,-14.8
58,20120129,-11.7,1025.7,5.0,0.0,-16.1
59,20120130,-13.9,1028.5,3.0,0.0,-16.5
60,20120131,-14.5,1028.3,3.0,0.0,-16.8
61,20120201,-15.2,1025.0,3.0,0.0,-17.4
62,20120202,-17.3,1023.5,2.0,0.0,-19.6
63,20120203,-20.6,1023.1,1.0,0.0,-22.9
64,20120204,-19.6,1026.3,2.0,0.0,-22.0
65,20120205,-17.6,1024.0,2.0,0.0,-21.6
66,20120206,-18.1,1024.8,3.0,0.0,-20.9
67,20120207,-13.2,1022.9,3.0,0.0,-16.7
68,20120208,-9.4,1027.7,3.0,0.0,-12.8
69,20120209,-10.2,1019.7,0.0,0.0,-15.5
70,20120210,-13.3,1024.9,3.0,0.0,-15.4
71,20120211,-16.7,1025.1,0.0,0.0,-18.5
72,20120212,-17.3,1020.3,0.0,0.0,-19.1
73,20120213,-8.4,1010.3,1.0,0.0,-14.4
74,20120214,-5.9,1004.3,0.0,0.0,-7.1
75,20120215,-6.7,988.6,3.0,0.0,-8.7
76,20120216,-4.6,987.3,7.0,0.0,-6.1
77,20120217,-15.1,1004.9,0.0,0.0,-16.4
78,20120218,0.4,998.8,3.0,0.0,0.0
79,20120219,-0.1,1000.9,3.0,0.0,-2.5
80,20120220,1.5,1006.9,4.0,0.0,0.5
